SM_ITEM|SM_DEST|SM_DEST_5ZIP|SM_SRC|SM_SRC_5ZIP|SM_ET|SM_QTY|SM_RANK|SM_P1|SM_COST|SM1_RANK|SM1_SRC|SM1_SRC_5ZIP|SM1_QTY|SM1_COST|P1_TOTALCOST|SM1_TOTALCOST|LOSS
4055RUPLUS|4000254005|58102|US2U|58102|VN|0|2|1|0.913|1|USK5|55428|61|1.208|55.693|73.688|-17.995
4055RUPLUS|4000254006|95240|UT2W|95691|FB|82|2|1|0.531|1|USZX|91761|328|0.917|174.168|300.776|-126.608
4055RUPLUS|4000254074|93210|UT3A|93725|FB|0|3|1|0.813|1|UT2J|90660|78|1.219|63.414|95.082|-31.668
4055RUPLUS|4000254499|47501|USA4|40118|VN|0|2|1|1.015|1|USA8|35204|160|1.246|162.4|199.36|-36.96
4055RUPLUS|4000254503|48014|USVI|48150|VN|0|3|1|0.833|1|USI8|25405|703|1.279|585.599|899.137|-313.538
4055RUPLUS|4000254548|40203|USA4|40118|VN|77|2|1|0.831|1|USA8|35204|387|1.135|321.597|439.245|-117.648
4055RUPLUS|4000254905|60446|UT52|60440|VN|594|3|1|0.542|1|USA4|40118|2377|0.933|1288.334|2217.741|-929.407
4055RUPLUS|4000254927|20166|USIR|21230|VN|92|2|1|0.805|1|USI8|25405|184|0.898|148.12|165.232|-17.112
4055RUPLUS|4000255241|75041|USGA|75227|VN|0|2|1|0.721|1|USIQ|76502|31|0.794|22.351|24.614|-2.263
4055RUPLUS|4000256017|37210|USNZ|37207|VN|0|4|1|0.579|1|USKZ|30336|26|0.938|15.054|24.388|-9.334
4055RUPLUS|4000256208|53154|US8Z|53110|VN|464|2|1|0.556|1|USVI|48150|929|0.854|516.524|793.366|-276.842
4055RUPLUS|4000256276|17015|USA9|17055|VN|11|3|1|0.546|1|USIA|22630|32|0.781|17.472|24.992|-7.52
4055RUPLUS|4000256279|49220|USVI|48150|VN|44|3|1|0.74|1|USOA|48917|144|0.747|106.56|107.568|-1.008
4055RUPLUS|4000257094|72916|USYH|72701|VN|0|2|1|0.908|1|USIL|75662|7|1.085|6.356|7.595|-1.239
4055RUPLUS|4000257868|60446|UT52|60440|VN|8455|2|1|0.542|1|USA4|40118|12558|0.933|6806.436|11716.614|-4910.178
4055RUPLUS|4000258074|54467|USFD|54115|VN|0|2|1|0.729|1|USRE|54660|230|0.767|167.67|176.41|-8.74
4055RUPLUS|4000258142|94603|UT43|95377|VN|0|3|1|0.521|1|USIB|95691|4|0.646|2.084|2.584|-0.5
4055RUPLUS|4000258153|93291|UT2Q|93308|VN|0|4|1|0.688|1|UT2J|90660|819|1.219|563.472|998.361|-434.889
4055RUPLUS|4000258375|60803|USQ4|60163|VN|0|2|1|0.577|1|USVI|48150|128|0.644|73.856|82.432|-8.576
4055RUPLUS|4000258560|64850|USYH|72701|FB|59|2|1|1.142|1|USGA|75227|236|1.25|269.512|295|-25.488
4055RUPLUS|4000258571|29720|UT13|28269|VN|0|3|1|0.87|1|USYJ|28105|251|0.892|218.37|223.892|-5.522
4055RUPLUS|4000259078|74434|USYH|72701|VN|0|3|1|0.948|1|USG5|78218|2493|1.146|2363.364|2856.978|-493.614
4055RUPLUS|4000259096|16510|USOR|14219|VN|0|2|1|0.931|1|USH3|15056|642|0.99|597.702|635.58|-37.878
4055RUPLUS|4000259131|18031|UT33|02062|VN|22991|2|1|1.277|1|US1M|01887|51529|1.302|65802.533|67090.758|-1288.225
4055RUPLUS|4000259337|83402|UT3E|84321|VN|0|3|1|0.792|1|USKM|84104|3488|0.904|2762.496|3153.152|-390.656
4055RUPLUS|4000259887|42765|USNQ|42101|VN|0|2|1|1.206|1|UT31|30315|258|1.242|311.148|320.436|-9.288
4055RUPLUS|4000259891|75220|USGA|75227|VN|18|2|1|0.517|1|USVZ|75236|36|0.573|18.612|20.628|-2.016
4055RUPLUS|4000260010|95076|UT3A|93725|FB|0|2|1|1.094|1|UT2W|95691|164|1.102|179.416|180.728|-1.312
4055RUPLUS|4000260694|46755|UT30|45806|VN|55|2|1|0.858|1|UT02|43228|83|1.058|71.214|87.814|-16.6
4055RUPLUS|4000260954|94080|UT43|95377|VN|0|3|1|0.715|1|USIB|95691|4|0.817|2.86|3.268|-0.408
4055RUPLUS|4000261750|71901|USNY|72113|VN|0|2|1|0.995|1|USIL|75662|2|1.012|1.99|2.024|-0.034
4055RUPLUS|4000262011|40701|US8T|37909|VN|0|2|1|0.928|1|USYX|30567|200|1.289|185.6|257.8|-72.2
4055RUPLUS|4000262016|60563|UT32|60502|VN|0|2|1|0.615|1|USHP|49036|1|0.873|0.615|0.873|-0.258
4055RUPLUS|4000262061|60481|USIE|60446|VN|0|2|1|0.788|1|USIN|45371|60|0.96|47.28|57.6|-10.32
4055RUPLUS|4000262626|50441|USA3|50265|VN|0|3|1|0.996|1|USIF|65251|1120|1.55|1115.52|1736|-620.48
4055RUPLUS|4000262808|44505|USH3|15056|VN|0|3|1|0.8|1|USI8|25405|1|1.088|0.8|1.088|-0.288
4055RUPLUS|4000262849|14103|USOR|14219|VN|0|2|1|0.619|1|USFC|14623|23|0.85|14.237|19.55|-5.313
4055RUPLUS|4000262850|60085|USQ4|60163|VN|0|3|1|0.621|1|USIE|60446|282|0.625|175.122|176.25|-1.128
4055RUPLUS|4000263027|24244|US8T|37909|VN|0|5|1|0.956|1|USYJ|28105|23|1.21|21.988|27.83|-5.842
4055RUPLUS|4000263029|34269|UT29|33815|FB|16|2|1|0.9|1|USNE|33811|78|0.921|70.2|71.838|-1.638
4055RUPLUS|4000263051|91748|UT2J|90660|VN|3|2|1|0.375|1|USE1|91761|5|0.429|1.875|2.145|-0.27
